SteamID,Status,DiscordID,Username,DisplayName,Name,ImageURL,Twitter,Twitch,Youtube,ORIClanTag,ORIClanDisplayName,NOWClanTag,NOWClanDisplayName,TouboFlag,WebFlag,QCModal,QCMap
76561198286069356,Added,504693605949243423,jorian0702,ジョリアン,,,,,,,,,,,,,
76561199447072540,Added,1180103256790286359,siromisu,しろみす,しろみす,https://pbs.twimg.com/profile_images/1749245450681806848/-nvg6Wga_400x400.jpg,https://x.com/siromisu,https://www.twitch.tv/siromisu,,,,,,,,,
76561198307599382,Added,484223958904864768,ki_mu_ra_g,キムラ,,,,,,,,,,,,,
76561198118479873,Added,707885129812410438,tena_uni,てなうみ,詩奈うみ,https://pbs.twimg.com/profile_images/1733507916504928256/AiGwmX59_400x400.jpg,https://x.com/utena_umi,https://www.twitch.tv/utena_umi,,,三重,Osaka,大阪,,true,true,true
76561199349154174,Added,822857552562749460,cena7x,cena7x,cena7x,https://pbs.twimg.com/profile_images/1898309472524926976/3vGTHYfH_400x400.jpg,https://x.com/Cena7x,https://www.twitch.tv/cena7x,,,三重,Osaka,大阪,,true,true,true
76561198105936409,Added,270060455517618176,kumakoo,kumakoo,くまこ,https://pbs.twimg.com/profile_images/1721538216908738560/eFb0h3O9_400x400.jpg,https://x.com/kumakoz_,https://www.twitch.tv/kumako___,,,三重,Osaka,大阪,,true,true,true
76561199198238390,Added,876915708485840896,rem_nem,玲夢,七草玲夢,https://pbs.twimg.com/profile_images/1896697596376395776/N1C105Ms_400x400.jpg,https://x.com/rem__life,,https://www.youtube.com/@vri_emo,,京都,Kyouto,京都,,true,true,true
76561198879625983,Added,971487856390459402,usagiria,うさぎりあ,うさぎりあ,https://pbs.twimg.com/profile_images/1793499910979092480/W2SfvHUT_400x400.jpg,https://x.com/RiaUsagi_,,https://www.youtube.com/@usagiria,,京都,Kyouto,京都,,true,true,true
76561198350811529,Added,1185184262362759231,himoo_ttv,ひもぉ。,ひもぉ,https://pbs.twimg.com/profile_images/1771805360564957184/TPJpQCEm_400x400.png,https://x.com/himoo_TTV,https://www.twitch.tv/himoo_ttvt,,,京都,Kyouto,京都,,true,true,true
76561199156563272,Added,780252438497591306,.ribes,りべす,りべす,https://pbs.twimg.com/profile_images/1808460825524629504/kuJW1llT_400x400.jpg,https://x.com/Ribes140521,,https://www.youtube.com/@ribes521,,佐賀,Kochi,高知,,true,true,true
76561199201906104,Added,1004886728009601137,umahyo,うまひょ,うまひょ,https://pbs.twimg.com/profile_images/1762473463015698432/DcvW7oiL_400x400.jpg,https://x.com/Uma_Hyo,https://www.twitch.tv/umahyoyt,,,佐賀,Kochi,高知,,true,true,true
76561199074227628,Added,376304026859470848,kii.0219,きぃちゃ,きいちゃ,https://pbs.twimg.com/profile_images/1817251118650626048/fPSIwTVn_400x400.jpg,https://x.com/kii_618,https://www.twitch.tv/kii_chann,,,佐賀,Kochi,高知,,true,true,true
76561198832653352,Added,345069579573264385,gomshiro,gomshiro,gomshiro,https://pbs.twimg.com/profile_images/1719621812978626560/ph3Sb83p_400x400.jpg,https://x.com/gomshiro1,https://www.twitch.tv/gomshirottv,,,兵庫,Kochi,高知,,true,true,true
76561199429461572,Added,1160771736397172767,yotsuba_melon,四葉メロン/melon,四葉メロン,https://pbs.twimg.com/profile_images/1892221850052411392/dTT0o80v_400x400.jpg,https://x.com/yotsubamelon_ch,https://www.twitch.tv/yotsuba_melon,https://www.youtube.com/@yotsubamelon_ch,,兵庫,Kochi,高知,,true,true,true
